08 июн. 2026 16:02:52,121 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,125 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,126 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,128 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,129 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,131 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,132 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,134 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,135 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,137 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,138 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,139 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,140 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,141 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,142 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,148 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,153 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,158 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,295 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,501 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,505 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,528 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,529 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,530 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,348 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,353 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,357 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,359 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,361 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,371 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,373 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,446 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:55,485 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:03:07,462 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:03:07,484 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:03:07,498 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:03:07,515 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:03:07,516 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:03:13,270 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 1664, Current connections count : 3
08 июн. 2026 16:03:13,377 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1664, Current connections count : 3
08 июн. 2026 16:03:13,859 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 4544, Time : 536, Current connections count : 4
08 июн. 2026 16:03:13,868 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,870 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,872 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,874 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,876 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,881 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,884 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,886 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,888 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,894 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,895 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,899 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,901 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,921 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,925 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,927 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,928 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,935 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,938 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,944 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,948 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,959 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4544, Current connections count : 4
08 июн. 2026 16:03:13,962 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4544, Current connections count : 4
